* NAME                              POS                 K1                 K2                 K3                 K4                 K5                 K6                R11                R21                R31                R41                R51                R61                R12                R22                R32                R42                R52                R62                R13                R23                R33                R43                R53                R63                R14                R24                R34                R44                R54                R64                R15                R25                R35                R45                R55                R65                R16                R26                R36                R46                R56                R66               T111               T211               T311               T411               T511               T611               T121               T221               T321               T421               T521               T621               T131               T231               T331               T431               T531               T631               T141               T241               T341               T441               T541               T641               T151               T251               T351               T451               T551               T651               T161               T261               T361               T461               T561               T661               T112               T212               T312               T412               T512               T612               T122               T222               T322               T422               T522               T622               T132               T232               T332               T432               T532               T632               T142               T242               T342               T442               T542               T642               T152               T252               T352               T452               T552               T652               T162               T262               T362               T462               T562               T662               T113               T213               T313               T413               T513               T613               T123               T223               T323               T423               T523               T623               T133               T233               T333               T433               T533               T633               T143               T243               T343               T443               T543               T643               T153               T253               T353               T453               T553               T653               T163               T263               T363               T463               T563               T663               T114               T214               T314               T414               T514               T614               T124               T224               T324               T424               T524               T624               T134               T234               T334               T434               T534               T634               T144               T244               T344               T444               T544               T644               T154               T254               T354               T454               T554               T654               T164               T264               T364               T464               T564               T664               T115               T215               T315               T415               T515               T615               T125               T225               T325               T425               T525               T625               T135               T235               T335               T435               T535               T635               T145               T245               T345               T445               T545               T645               T155               T255               T355               T455               T555               T655               T165               T265               T365               T465               T565               T665               T116               T216               T316               T416               T516               T616               T126               T226               T326               T426               T526               T626               T136               T236               T336               T436               T536               T636               T146               T246               T346               T446               T546               T646               T156               T256               T356               T456               T556               T656               T166               T266               T366               T466               T566               T666 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QS2D"                     88.40199728                  0                  0                  0                  0                  0                  0        1.010739557       0.1034494157                  0                  0                  0                  0       0.2087440776        1.010739557                  0                  0                  0                  0                  0                  0       0.9892987515      -0.1027127054                  0                  0                  0                  0       0.2072575161       0.9892987515                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0    -0.002409375815                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0       -0.682205654                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.002388800617                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0      -0.6725237152                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "QS2D"                     88.60999728                  0                  0                  0                  0                  0                  0        1.010739557       0.1034494157                  0                  0                  0                  0       0.2087440776        1.010739557                  0                  0                  0                  0                  0                  0       0.9892987515      -0.1027127054                  0                  0                  0                  0       0.2072575161       0.9892987515                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        8.614976806                  1                  0                  0                  0                  0    -0.002409375815                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0                  0                  0                  0                  0     -0.03516074874                  0                  0                  0                  0                  0       -0.682205654                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.002388800617                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03466174057                  0                  0                  0                  0                  0      -0.6725237152                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03503541668    -0.001202107468                  0                  0                  0                  0      -0.6821926427     -0.03503541668                  0                  0                  0                  0                  0                  0      0.03478591356     -0.00119696368                  0                  0                  0                  0       -0.672510778      0.03478591356                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -84.16301266                  0
 "DR5"                      89.31979728                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        29.39860835                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.311436147                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.311436147                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.311436147                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.311436147                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.311436147                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.311436147                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -287.2062807                  0
 "QS3T"                     89.47993061                  0                  0                  0                  0                  0                  0       0.9916009832      -0.1047532032                  0                  0                  0                  0       0.1596847609       0.9916009832                  0                  0                  0                  0                  0                  0        1.008422597       0.1053422256                  0                  0                  0                  0       0.1605826609        1.008422597                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        6.632427656                  1                  0                  0                  0                  0    -0.001911685029                  0                  0                  0                  0                  0      0.02723621127                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.02731272084   -0.0009574516183                  0                  0                  0                  0                  0                  0                  0                  0      0.02723621127                  0                  0                  0                  0                  0      -0.5185538299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.5185476955      0.02731272084                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.001924591441                  0                  0                  0                  0                  0     -0.02754336831                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.027466299   -0.0009606782171                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02754336831                  0                  0                  0                  0                  0      -0.5244018124                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.5243956503       -0.027466299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.02731272084   -0.0009574516183                  0                  0                  0                  0      -0.5185476955      0.02731272084                  0                  0                  0                  0                  0                  0       -0.027466299   -0.0009606782171                  0                  0                  0                  0      -0.5243956503       -0.027466299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -64.79472962                  0
 "QS3T"                     89.64006395                  0                  0                  0                  0                  0                  0       0.9916009832      -0.1047532032                  0                  0                  0                  0       0.1596847609       0.9916009832                  0                  0                  0                  0                  0                  0        1.008422597       0.1053422256                  0                  0                  0                  0       0.1605826609        1.008422597                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        6.632427656                  1                  0                  0                  0                  0    -0.001911685029                  0                  0                  0                  0                  0      0.02723621127                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.02731272084   -0.0009574516183                  0                  0                  0                  0                  0                  0                  0                  0      0.02723621127                  0                  0                  0                  0                  0      -0.5185538299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.5185476955      0.02731272084                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.001924591441                  0                  0                  0                  0                  0     -0.02754336831                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.027466299   -0.0009606782171                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02754336831                  0                  0                  0                  0                  0      -0.5244018124                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.5243956503       -0.027466299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.02731272084   -0.0009574516183                  0                  0                  0                  0      -0.5185476955      0.02731272084                  0                  0                  0                  0                  0                  0       -0.027466299   -0.0009606782171                  0                  0                  0                  0      -0.5243956503       -0.027466299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -64.79472962                  0
 "QS3T"                     89.80019728                  0                  0                  0                  0                  0                  0       0.9916009832      -0.1047532032                  0                  0                  0                  0       0.1596847609       0.9916009832                  0                  0                  0                  0                  0                  0        1.008422597       0.1053422256                  0                  0                  0                  0       0.1605826609        1.008422597                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        6.632427656                  1                  0                  0                  0                  0    -0.001911685029                  0                  0                  0                  0                  0      0.02723621127                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.02731272084   -0.0009574516183                  0                  0                  0                  0                  0                  0                  0                  0      0.02723621127                  0                  0                  0                  0                  0      -0.5185538299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.5185476955      0.02731272084                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.001924591441                  0                  0                  0                  0                  0     -0.02754336831                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.027466299   -0.0009606782171                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.02754336831                  0                  0                  0                  0                  0      -0.5244018124                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.5243956503       -0.027466299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.02731272084   -0.0009574516183                  0                  0                  0                  0      -0.5185476955      0.02731272084                  0                  0                  0                  0                  0                  0       -0.027466299   -0.0009606782171                  0                  0                  0                  0      -0.5243956503       -0.027466299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -64.79472962                  0
 "DR6"                      90.29999728                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.4998                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        20.70079523                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.627579299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.627579299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.627579299                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.627579299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.627579299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -1.627579299                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -202.2340083                  0
 "DR1"                      90.94499728                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0              0.645                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        26.71471173                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.100417462                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.100417462                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.100417462                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.100417462                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.100417462                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -2.100417462                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -260.9862652                  0
 "RB"                       93.56299116                  0                  0                  0                  0                  0                  0       0.9990813106   -0.0007095825341                  0                  0       -1.714097268                  0        2.588190451       0.9990813106                  0                  0        -2.21922448                  0                  0                  0       0.9677976247     -0.02420470044                  0                  0                  0                  0        2.617993878       0.9677976247                  0                  0                  0                  0                  0                  0                  1                  0         2.21922448        1.714097268                  0                  0        107.1682769                  1    -9.33336474e-05   -3.225039102e-08                  0                  0                  0                  0       0.1313534988   -4.175425663e-08                  0                  0      -0.1097904621                  0                  0                  0    -0.001591482531   -3.516637247e-05                  0                  0                  0                  0       0.1272977731    -0.001687374259                  0                  0                  0                  0                  0                  0                  0                  0       0.1156702029    7.790539435e-05                  0                  0        5.450299193                  0       0.1313534988   -4.175425663e-08                  0                  0      -0.1097904621                  0       0.1700620527      -0.1314743909                  0                  0       -8.428341735                  0                  0                  0      -0.1371987069   -4.552954847e-05                  0                  0                  0                  0       0.1648111456        0.132953604                  0                  0                  0                  0                  0                  0                  0                  0       -8.136440082      -0.1096895988                  0                  0        7.056447505                  0                  0                  0    -0.001591482531   -3.516637247e-05                  0                  0                  0                  0      -0.1371987069   -4.552954847e-05                  0                  0      0.00317512161   -7.485019295e-05                  0                  0     -0.08840984515                  0      -0.1287913782     0.001539911414                  0                  0          0.1054929                  0                  0                  0                  0                  0                  0                  0                  0                  0       0.1019097089      0.08300851552                  0                  0                  0                  0       0.1272977731    -0.001687374259                  0                  0                  0                  0       0.1648111456        0.132953604                  0                  0      -0.1287913782     0.001539911414                  0                  0          0.1054929                  0      -0.5186892099      -0.1273678415                  0                  0       -8.428341735                  0                  0                  0                  0                  0                  0                  0                  0                  0       -8.433108878       0.3335497806                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       0.1156702029    7.790539435e-05                  0                  0        5.450299193                  0       -8.136440082      -0.1096895988                  0                  0        7.056447505                  0                  0                  0       0.1019097089      0.08300851552                  0                  0                  0                  0       -8.433108878       0.3335497806                  0                  0                  0                  0                  0                  0                  0                  0       -21.25979537       -5.638490724                  0                  0       -1047.259162                  0
 "DR2"                      94.53299116                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.97                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0        40.17561299                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -3.158767347                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -3.158767347                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -3.158767347                  0                  0                  0                  0                  0                  0                  0                  0                  0       -3.158767347                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -3.158767347                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -3.158767347                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -392.4909725                  0
